"visitorID","age","gender","twodrinksweek","exerciseweekly","pjam_metallica_gnr","avg_rides_per_visit","lobclaw"
1210,33,0,0,1,0,11,1
1212,40,1,1,1,1,13,0
1213,45,0,1,1,0,11,1
1223,40,1,0,0,0,13,1
1227,39,1,1,0,0,11,1
1229,30,0,1,1,0,14,1
1230,32,0,1,0,0,11,1
1231,33,0,0,1,1,11,1
1238,35,0,0,0,0,11,1
1240,31,0,0,1,0,13,1
1249,48,0,1,0,0,13,1
1250,30,0,0,0,0,13,1
1256,40,0,1,0,0,11,1
1258,32,1,0,1,0,11,0
1261,25,1,1,0,0,11,1
1265,35,1,0,0,1,11,1
1266,30,0,0,0,0,11,1
1271,41,0,1,0,0,11,1
1275,48,1,0,1,1,11,1
1277,30,1,0,0,0,11,1
1278,43,1,0,0,0,12,1
1281,35,0,1,0,0,14,1
1286,33,0,0,1,0,12,0
1289,45,1,0,1,0,14,0
1291,32,0,1,0,0,14,0
1304,43,1,1,1,1,11,0
1306,47,1,0,0,0,13,1
1314,52,0,1,1,1,14,1
1316,43,0,0,0,0,12,1
1324,37,1,1,1,1,11,0
1331,33,1,0,1,1,15,1
1332,51,0,0,1,0,12,1
1333,31,0,1,0,0,13,0
1336,24,1,1,1,0,12,1
1337,37,1,0,0,0,13,1
1341,37,0,0,1,0,11,0
1344,41,1,1,0,1,13,1
1346,43,1,1,0,0,17,1
1352,42,1,1,0,1,11,1
1354,32,0,1,0,0,11,1
1363,27,1,1,0,0,11,1
1372,36,0,0,0,0,11,1
1375,39,0,1,1,0,12,0
1377,32,1,1,0,0,17,1
1378,42,0,0,1,0,15,1
1383,42,1,0,0,0,14,1
1387,33,0,0,1,0,11,1
1390,38,1,0,0,0,11,0
1392,32,0,1,1,0,11,1
1393,34,1,1,0,0,13,1
1399,27,1,0,0,0,16,1
1403,37,0,0,0,0,13,1
1404,56,1,0,1,1,15,1
1407,39,0,0,1,1,15,1
1412,45,1,1,0,0,14,1
1413,49,1,1,1,0,16,0
1427,19,0,0,0,1,12,1
1430,32,0,0,0,0,12,1
1445,42,0,0,1,0,11,1
1446,45,0,0,1,0,11,1
1449,30,0,1,1,1,11,0
1451,43,1,1,0,1,17,1
1452,30,1,0,0,0,14,1
1453,31,0,0,0,0,12,1
1455,43,0,0,0,1,11,1
1462,41,0,1,1,0,12,1
1464,30,1,1,1,0,13,0
1478,38,1,1,0,0,12,1
1480,37,0,1,1,0,13,0
1486,30,1,1,0,1,13,1
1496,28,0,1,0,0,11,1
1498,36,0,1,0,0,11,1
1502,49,1,0,1,0,11,1
1506,27,0,1,0,0,11,1
1509,52,1,1,0,0,13,1
1516,20,0,1,1,0,12,1
1525,30,1,1,0,0,14,1
1530,41,0,0,1,0,12,1
1535,32,0,1,0,0,11,1
1538,60,1,0,1,0,13,0
1545,27,1,1,0,0,17,1
1546,31,1,1,0,0,13,1
1549,39,1,1,0,0,12,1
1550,35,0,0,1,0,11,1
1557,33,1,0,1,0,11,1
1559,39,1,0,1,0,12,1
1562,36,1,0,0,0,11,1
1567,35,1,0,0,1,12,1
1568,48,0,1,0,0,13,1
1570,33,0,1,0,0,13,0
1573,45,1,0,1,1,12,1
1575,28,1,0,0,0,13,0
1598,42,1,1,1,1,16,1
1601,31,1,1,1,0,12,1
1604,37,1,1,1,0,12,1
1608,33,0,1,0,0,13,1
1616,20,1,1,0,0,11,1
1617,43,1,1,1,1,13,1
1623,34,1,1,0,0,12,1
1624,38,0,1,0,0,14,1
1627,33,1,1,1,1,12,1
1628,21,0,1,0,0,12,1
1629,57,1,0,0,0,13,0
1636,34,0,0,0,0,11,0
1637,21,1,1,0,0,13,1
1640,36,0,1,0,0,12,1
1641,35,1,0,1,0,12,1
1643,39,1,1,1,0,13,1
1653,35,0,1,0,0,11,0
1659,48,1,1,0,1,11,1
1663,42,1,1,0,1,13,1
1665,38,1,1,0,0,13,1
1671,39,1,1,0,0,11,0
1674,43,1,0,1,0,11,1
1675,23,1,0,0,0,13,1
1677,38,1,0,0,1,16,1
1678,43,0,1,0,0,13,1
1682,46,1,1,0,0,11,0
1684,46,1,1,1,0,11,1
1687,43,1,0,0,1,16,1
1691,33,1,1,1,0,12,1
1707,42,1,0,0,1,11,1
1710,39,1,1,1,0,11,1
1711,34,1,1,1,1,13,0
1712,21,0,1,0,1,11,1
1716,35,1,0,0,1,11,1
1720,48,1,1,0,0,12,0
1728,28,0,0,0,0,12,1
1733,43,1,0,1,0,11,1
1741,43,0,1,0,0,15,1
1743,43,0,0,0,1,11,0
1746,26,1,0,1,1,12,1
1747,50,1,1,0,0,15,1
1748,17,1,0,1,1,15,1
1751,42,1,1,1,1,11,0
1753,38,1,1,1,0,11,1
1756,34,0,1,1,0,12,1
1757,25,1,0,0,0,13,1
1763,48,0,0,0,0,11,1
1766,41,1,1,1,1,11,1
1770,30,0,1,0,0,11,1
1773,27,0,0,1,0,11,1
1774,32,0,1,0,0,13,1
1778,32,0,1,0,1,11,0
1781,43,1,0,0,0,11,1
1784,33,0,1,0,0,12,0
1786,24,1,1,1,1,13,1
1790,31,1,1,0,0,11,1
1792,32,1,1,0,0,11,0
1793,41,0,0,1,1,12,1
1795,35,1,1,0,0,14,1
1800,35,1,0,0,1,11,1
1801,40,0,1,0,0,11,1
1802,34,1,0,0,1,11,1
1803,30,1,0,1,0,12,1
1804,28,1,0,1,0,14,1
1814,31,0,1,1,1,12,0
1818,46,0,1,0,0,11,1
1821,29,0,1,1,0,16,0
1824,18,1,0,1,0,12,0
1825,41,0,0,1,0,11,1
1835,33,0,0,0,1,11,0
1837,45,1,1,1,0,12,0
1839,44,0,1,1,0,12,1
1840,38,1,0,1,0,11,1
1841,31,1,0,1,0,12,1
1846,36,1,0,0,0,12,0
1847,31,0,1,0,1,12,0
1851,32,0,1,0,0,11,1
1852,32,1,1,1,0,11,1
1859,38,0,1,1,0,11,1
1873,26,1,1,1,0,12,1
1877,26,1,1,0,0,15,1
1881,44,0,1,0,0,11,0
1888,30,0,0,0,0,11,1
1891,33,1,1,1,1,14,1
1893,30,1,0,0,1,13,1
1894,15,1,0,0,0,14,1
1896,40,1,0,0,1,15,1
1899,35,1,0,0,0,11,1
1903,24,1,0,1,0,15,1
1906,37,1,1,1,0,11,1
1911,36,0,0,0,0,14,1
1918,46,1,1,0,0,11,0
1923,48,0,1,0,1,11,1
1929,36,1,1,1,0,12,1
1930,42,0,1,0,0,12,1
1931,30,1,1,0,0,12,1
1938,36,0,0,1,0,13,1
1945,33,0,1,1,0,11,0
1947,33,0,0,0,0,13,1
1953,25,1,0,0,0,12,1
1955,24,0,1,1,0,14,1
1964,40,1,1,0,0,13,1
1966,51,1,0,0,0,14,0
1967,33,0,1,1,0,11,1
1968,43,1,1,0,0,12,1
1971,47,1,0,1,0,11,1
1974,46,1,1,1,1,13,1
1976,40,0,1,0,1,11,1
1978,34,0,0,1,0,11,1
1983,55,1,0,0,0,13,0
1992,33,0,0,1,0,12,1
2002,33,0,1,0,1,11,0
2005,29,0,1,0,0,12,1
2008,23,1,0,1,0,11,0
2011,37,0,1,0,0,11,1
2014,34,0,0,0,0,14,1
2016,35,1,1,0,1,14,1
2017,28,1,1,1,1,13,1
2025,50,1,0,0,0,11,1
2038,34,1,0,0,0,14,1
2051,48,0,0,1,0,15,1
2053,26,0,0,0,1,13,1
2056,33,0,1,1,1,11,0
2061,33,0,1,0,0,14,1
2068,50,0,0,1,0,14,0
2069,18,1,1,0,0,12,1
2070,48,1,1,1,1,15,1
2084,24,1,1,0,0,12,1
2085,53,0,1,0,0,14,1
2089,42,1,1,0,1,14,1
2106,43,0,1,0,1,11,0
2107,37,1,0,0,0,11,0
2109,42,0,1,0,0,13,1
2112,41,0,1,0,0,13,0
2115,33,1,0,0,0,11,0
2117,34,1,1,1,0,12,1
2119,40,0,1,1,0,12,1
2121,19,1,1,0,1,11,0
2123,41,0,1,0,0,12,0
2125,46,0,0,1,0,12,1
2128,21,0,1,0,0,11,1
2129,35,0,1,0,1,12,1
2130,37,0,0,1,0,11,1
2135,39,1,1,1,1,14,1
2136,36,0,0,1,0,11,1
2141,35,1,1,1,0,13,1
2145,38,1,1,1,1,12,1
2147,46,0,1,1,1,11,1
2148,34,0,0,1,0,14,1
2150,35,0,1,0,0,13,0
2153,32,1,1,0,0,11,0
2157,29,0,0,1,0,12,1
2158,44,1,1,1,0,14,0
2160,33,0,1,0,0,12,1
2161,38,0,1,1,0,11,1
2165,33,1,1,0,1,13,1
2169,37,1,0,0,1,11,1
2170,32,0,1,0,0,11,0
2171,41,1,1,0,0,12,1
2174,32,1,1,0,0,13,1
2181,56,0,0,0,0,11,1
2186,30,0,1,0,1,11,0
2187,28,1,1,1,1,12,1
2191,30,0,0,0,0,11,1
2196,33,0,0,0,0,11,0
2199,35,1,0,0,0,13,1
2200,36,1,1,0,1,12,1
2210,21,1,1,0,0,11,0
2216,33,1,0,1,0,16,1
2217,28,0,0,0,0,16,1
2218,20,1,1,0,0,16,0
2219,20,0,0,1,1,12,1
2221,45,1,1,1,0,11,0
2224,29,0,1,0,0,12,0
2226,28,1,0,0,0,11,0
2228,26,1,1,1,0,11,0
2232,38,1,1,0,0,13,1
2233,32,1,0,1,0,12,1
2234,46,1,1,0,1,13,1
2235,31,1,1,1,1,12,1
2237,41,1,1,0,0,13,1
2240,43,0,0,0,0,12,1
2244,47,0,0,1,0,15,0
2245,42,0,1,0,0,12,0
2252,36,1,1,0,1,11,1
2253,32,1,1,0,0,11,1
2257,37,0,0,1,0,11,1
2259,35,0,1,0,0,17,1
2261,35,0,1,1,1,11,1
2266,42,1,1,0,1,11,1
2267,36,0,1,1,0,12,1
2269,41,0,1,0,0,11,1
2270,29,0,0,1,1,12,1
2275,34,1,0,0,1,11,1
2280,30,0,1,0,1,15,1
2282,33,1,0,0,0,14,1
2296,24,0,1,1,1,11,1
2300,23,1,0,0,0,11,1
2301,49,0,0,1,0,11,0
2320,46,1,1,1,0,12,1
2321,37,1,1,0,0,14,1
2323,34,1,0,1,0,14,1
2326,52,0,1,1,0,13,1
2328,37,1,1,1,0,13,1
2331,46,1,1,1,0,11,1
2334,32,0,1,0,0,12,0
2335,37,1,1,1,0,11,1
2342,21,1,0,0,0,17,1
2345,32,1,0,0,0,11,1
2346,36,0,0,1,0,14,1
2353,29,1,1,0,0,12,1
2354,40,1,1,0,0,14,1
2355,25,1,1,1,0,13,0
2360,34,1,1,1,0,11,1
2362,26,1,1,1,0,12,1
2367,25,1,1,0,1,12,0
2370,22,0,0,0,0,11,1
2372,31,0,1,0,0,11,1
2373,25,0,0,1,0,13,0
2380,33,1,0,0,0,13,1
2384,38,0,0,1,0,12,1
2390,35,1,0,1,0,15,1
2392,31,1,1,0,1,16,0
2396,34,0,1,1,0,11,1
2398,36,0,0,0,1,14,1
2401,36,1,0,1,0,11,1
2405,26,1,1,0,0,13,1
2411,38,1,0,1,0,13,1
2413,34,1,0,1,0,11,1
2417,17,0,1,1,0,15,1
2418,42,1,1,1,0,11,1
2428,23,1,1,0,0,15,1
2429,46,0,1,1,0,11,1
2430,41,1,1,0,0,12,1
2434,32,0,1,0,0,14,0
2436,39,1,1,0,1,13,0
2437,34,1,0,1,1,12,0
2440,50,0,0,0,0,12,1
2444,38,0,1,0,0,11,1
2448,32,0,1,1,0,15,1
2451,35,0,1,1,1,11,1
2456,35,1,1,1,1,12,1
2457,29,0,0,0,1,13,0
2464,28,1,0,0,1,11,1
2470,27,1,0,0,0,13,1
2471,35,0,1,1,1,12,1
2478,32,0,1,0,0,11,1
2480,44,1,1,0,1,14,1
2481,34,0,0,0,0,12,1
2483,25,1,1,1,1,12,1
2501,31,0,1,0,0,11,0
2502,40,0,0,1,1,12,1
2509,48,1,0,1,0,13,1
2511,45,1,1,1,0,11,1
2521,35,1,1,1,1,13,1
2527,27,0,1,0,1,12,1
2529,25,1,1,0,0,12,0
2531,33,0,1,0,0,13,0
2535,33,1,0,1,0,11,0
2536,35,1,1,0,0,11,0
2539,32,0,1,0,0,13,1
2541,40,0,1,1,0,13,1
2542,46,0,1,0,1,13,1
2543,43,0,1,1,0,11,0
2547,37,1,1,0,0,11,1
2554,28,1,1,0,0,12,1
2556,31,0,0,0,1,12,1
2560,30,0,1,0,0,14,1
2561,41,0,1,1,1,11,1
2571,25,1,0,0,0,11,1
2573,25,1,1,0,0,12,1
2575,37,0,1,1,0,14,1
2578,33,1,1,0,1,12,1
2580,42,0,0,1,1,13,1
2581,48,0,1,0,0,12,0
2582,28,1,1,0,0,11,1
2583,18,1,1,1,0,17,0
2584,33,0,0,0,0,16,0
2587,33,1,1,0,1,14,0
2589,46,1,1,0,0,11,1
2592,36,1,1,0,0,11,1
2597,32,0,0,1,0,11,1
2601,38,0,1,0,0,13,1
2603,17,1,1,0,0,13,1
2605,38,0,1,1,0,13,1
2609,22,1,0,1,1,13,1
2616,17,1,1,0,0,13,1
2621,34,0,1,0,1,13,0
2623,32,0,0,1,0,12,1
2625,36,0,0,1,0,11,1
2626,33,0,1,0,0,11,1
2629,38,1,0,1,0,14,0
2633,48,0,0,0,0,11,1
2636,43,0,0,1,0,11,1
2640,31,0,1,1,1,16,1
2642,28,1,1,0,1,13,1
2644,41,0,1,0,0,12,1
2645,38,0,1,1,0,13,1
2646,42,1,1,0,0,14,1
2652,32,0,1,0,1,12,1
2657,37,1,0,0,0,11,1
2660,40,1,0,0,0,12,1
2662,33,1,0,1,0,11,1
2666,26,1,1,1,0,12,1
2678,44,0,1,1,0,14,1
2680,44,0,1,1,1,13,1
2693,32,0,1,0,0,12,1
2694,24,1,0,0,0,12,1
2699,37,0,1,0,0,13,0
2704,32,0,0,1,1,11,1
2705,45,1,0,0,0,11,0
2707,26,1,1,1,0,14,1
2709,32,0,0,0,0,11,1
2710,34,1,0,1,1,13,0
2711,27,1,1,0,0,12,1
2714,33,1,0,0,0,11,1
2724,22,1,1,0,0,11,1
2732,32,0,1,1,0,11,0
2737,30,1,1,1,1,14,1
2740,25,1,0,1,0,14,1
2742,42,0,0,1,0,11,1
2745,33,1,0,1,0,11,1
2757,34,1,0,1,1,11,1
2758,41,1,0,1,1,12,1
2761,43,0,1,0,0,14,1
2762,37,1,1,0,0,16,1
2763,25,0,0,0,0,14,1
2766,51,0,0,0,1,18,1
2767,43,1,1,0,1,11,1
2770,30,0,0,0,0,14,1
2775,40,1,1,0,0,11,1
2776,31,1,0,0,0,11,1
2777,34,0,1,0,0,11,1
2779,39,0,1,1,0,12,0
2781,15,1,0,1,0,12,1
2784,31,1,0,0,0,12,0
2789,29,1,0,0,1,12,1
2797,43,1,0,0,1,11,1
2805,32,1,1,1,0,11,0
2807,28,0,0,0,0,11,0
2814,47,1,1,1,0,14,1
2815,25,0,1,1,1,11,1
2817,37,0,1,0,0,13,1
2818,37,0,1,1,0,11,1
2822,33,1,1,0,1,11,0
2829,30,0,0,1,0,13,1
2842,31,0,0,1,1,13,1
2846,40,1,0,0,1,12,1
2847,41,0,1,0,0,15,0
2855,35,1,1,0,0,14,1
2863,50,1,1,0,0,15,1
2866,40,1,0,1,0,12,1
2868,25,1,1,0,1,12,1
2877,34,0,1,0,0,11,1
2894,31,0,0,1,1,11,1
2899,43,0,1,0,0,11,1
2902,49,0,0,1,0,12,1
2911,36,1,1,0,0,11,1
2914,52,0,0,1,0,13,0
2920,43,1,1,0,0,11,1
2922,27,0,0,0,0,14,1
2927,35,1,1,0,0,11,1
2931,45,0,1,1,0,12,1
2932,36,1,1,1,0,11,1
2937,24,1,1,1,1,12,0
2938,36,0,0,1,0,12,1
2948,28,1,1,1,0,12,0
2951,43,1,1,0,0,11,1
2953,34,0,1,1,0,11,1
2955,42,1,1,1,0,11,1
2956,38,1,1,1,1,12,1
2961,32,1,0,0,0,14,0
2962,36,0,0,0,1,14,1
2986,38,1,1,1,0,13,0
2996,34,1,1,1,0,12,0
3003,27,1,1,0,1,11,1
3008,29,1,1,1,0,14,1
3011,44,0,1,1,0,11,0
3016,22,0,0,1,0,11,1
3019,32,1,0,0,0,13,0
3021,23,0,1,0,0,11,1
3034,37,0,1,1,0,18,1
3038,19,1,0,0,0,13,0
3040,35,0,1,1,0,16,1
3050,31,0,1,1,1,11,1
3053,20,0,1,1,0,12,1
3057,21,0,0,0,0,15,1
3060,37,1,0,0,0,13,0
3064,34,1,0,0,0,11,1
3071,24,0,0,1,0,14,1
3072,32,0,1,1,1,12,1
3074,28,1,1,1,0,11,1
3079,28,1,1,1,0,11,1
3081,33,1,0,1,0,13,0
3086,35,1,1,0,0,11,0
3092,33,0,0,0,0,13,1
3093,47,1,1,1,0,12,1
3094,19,1,1,0,0,11,1
3095,31,0,0,1,0,13,1
3101,37,1,1,1,0,13,1
3103,19,1,0,0,1,12,0
3110,40,1,0,0,0,13,1
3119,24,1,1,0,0,13,0
3124,25,0,0,0,1,11,0
3127,37,1,1,0,1,13,1
3129,39,0,1,0,0,11,1
3130,29,1,0,0,0,13,0
3131,31,0,0,1,0,12,1
3140,30,0,1,0,0,13,1
3143,46,1,1,1,0,11,0
3145,42,0,1,0,1,11,1
3146,46,1,0,1,0,11,1
3155,44,0,1,0,0,12,1
3156,47,0,0,0,0,12,0
3164,40,1,1,0,0,12,1
