"bundleID","live_science","live_nature","live_magic","dance_troupes","sing_styles","comedy_styles","show_length","avg_rating"
44,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Open Mic","20",5.468027235831
45,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Beatles","Open Mic","30",6.68394311243696
46,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Improv","10",7.11102691824471
47,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Improv","20",9.76121521795946
48,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Improv","30",6.87330492435755
49,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Slapstick","10",9.38239232169347
50,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Slapstick","20",7.17374618510659
51,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Slapstick","30",7.31870534838765
52,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Open Mic","10",7.4052266707929
53,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Open Mic","20",3.18791945635083
54,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Wiggles","Open Mic","30",8.57373681125006
55,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Improv","10",6.53620780651449
56,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Improv","20",8.75706982126568
57,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Improv","30",5.25097614920979
58,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Slapstick","10",8.70398075666149
59,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Slapstick","20",7.52522230062952
60,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Slapstick","30",8.62025982256497
61,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Open Mic","10",6.19621014002995
62,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Open Mic","20",5.62222821455124
63,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Italian Opera","Open Mic","30",3.12266045884589
64,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Improv","10",5.33890653073379
65,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Improv","20",7.10057598674541
66,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Improv","30",7.02368787490583
67,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Slapstick","10",5.51359072598269
68,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Slapstick","20",6.14552934548206
69,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Slapstick","30",5.22295534510496
70,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Open Mic","10",5.55471276290543
71,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Open Mic","20",5.08928790426595
72,"Liquid Air Show","All About Crustaceans","Card Tricks","Hip-Hop Fusion","Open Mic","Open Mic","30",7.82014523574022
73,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Improv","10",8.25435104938202
74,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Improv","20",8.80302374621704
75,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Improv","30",5.38955915042245
76,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Slapstick","10",9.77306350873001
77,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Slapstick","20",9.57207043583423
78,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Slapstick","30",5.74766239996423
79,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Open Mic","10",2.75551526323845
80,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Open Mic","20",9.98648076420617
81,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Beatles","Open Mic","30",3.54276922321716
82,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Improv","10",9.22772351517417
83,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Improv","20",4.6383981727578
84,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Improv","30",6.95671050211145
85,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Slapstick","10",6.98185565349757
86,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Slapstick","20",6.69701124907055
87,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Slapstick","30",7.63941612288017
88,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Open Mic","10",6.98394419777565
89,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Open Mic","20",1.57988103446575
90,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Wiggles","Open Mic","30",7.62456800913017
91,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Improv","10",7.97780660549253
92,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Improv","20",5.52918242825245
93,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Improv","30",5.14403684975217
94,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Slapstick","10",5.07765954603072
95,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Slapstick","20",8.30610357272244
96,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Slapstick","30",9.97148266972856
97,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Open Mic","10",8.28805836822336
98,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Open Mic","20",4.73107619568446
99,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Italian Opera","Open Mic","30",5.99258401937238
100,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Improv","10",3.5656065314823
101,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Improv","20",6.91097639758511
102,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Improv","30",4.43930853304613
103,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Slapstick","10",6.12784421080679
104,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Slapstick","20",6.5726827820891
105,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Slapstick","30",4.95355836473083
106,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Open Mic","10",2.65040344685364
107,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Open Mic","20",7.02084270657067
108,"Liquid Air Show","All About Crustaceans","Card Tricks","Salsa Vida","Open Mic","Open Mic","30",4.42060647409466
109,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Improv","10",9.08298771052346
110,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Improv","20",8.36921970404188
111,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Improv","30",4.53640118858516
112,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Slapstick","10",8.08320593743877
113,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Slapstick","20",8.83278049869503
114,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Slapstick","30",9.34833290509003
115,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Open Mic","10",5.3144445834694
116,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Open Mic","20",7.65964280008703
117,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Beatles","Open Mic","30",7.57885916907358
118,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Improv","10",7.27234885525751
119,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Improv","20",8.67281462611633
120,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Improv","30",8.74789672780489
121,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Slapstick","10",8.76623896664717
122,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Slapstick","20",7.81509401972857
123,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Slapstick","30",8.62877200963137
124,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Open Mic","10",3.31711910143406
125,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Open Mic","20",9.96120807264924
126,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Wiggles","Open Mic","30",9.37419927143246
127,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Improv","10",4.97859339118076
128,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Improv","20",4.8819384118478
129,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Improv","30",6.83803264289312
130,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Slapstick","10",6.35311867485869
131,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Slapstick","20",7.26775115895048
132,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Slapstick","30",4.73205661764945
133,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Open Mic","10",8.43939088601113
134,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Open Mic","20",4.4806225304802
135,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Italian Opera","Open Mic","30",6.19143940027513
136,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Improv","10",4.3140833464231
137,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Improv","20",5.46375085209543
138,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Improv","30",4.24240980421971
139,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Slapstick","10",5.92063484246029
140,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Slapstick","20",4.18949114944401
141,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Slapstick","30",6.67899351299085
142,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Open Mic","10",7.15145012599628
143,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Open Mic","20",5.96233149247773
144,"Liquid Air Show","All About Crustaceans","Card Tricks","Celtic Folk Dance","Open Mic","Open Mic","30",3.87358230895956
145,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Improv","10",5.07529776862502
146,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Improv","20",4.13232742704741
147,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Improv","30",8.45327204067953
148,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Slapstick","10",5.4493653768477
149,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Slapstick","20",5.47142979461481
150,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Slapstick","30",3.99057375929382
151,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Open Mic","10",4.52474889349935
152,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Open Mic","20",9.22436733330295
153,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Beatles","Open Mic","30",3.92542658835627
154,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Improv","10",8.92443678102085
155,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Improv","20",7.93547195345777
156,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Improv","30",9.00621012693456
157,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Slapstick","10",4.96969473174076
158,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Slapstick","20",7.11115867301264
159,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Slapstick","30",9.13238021076589
160,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Open Mic","10",1.17590046337926
161,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Open Mic","20",5.65879127347662
162,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Wiggles","Open Mic","30",5.27708495975462
163,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Improv","10",8.10128328274983
164,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Improv","20",7.85832087501376
165,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Improv","30",6.11236621743862
166,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Slapstick","10",4.86658566500007
167,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Slapstick","20",5.32550959974289
168,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Slapstick","30",5.82089842575881
169,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Open Mic","10",7.07641224360484
170,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Open Mic","20",7.55318728358888
171,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Italian Opera","Open Mic","30",9.48696813284212
172,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Improv","10",2.80152353531975
173,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Improv","20",6.3159344909825
174,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Improv","30",5.03263019083269
175,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Slapstick","10",3.78949652270706
176,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Slapstick","20",4.67990952487227
177,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Slapstick","30",4.74369305808395
178,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Open Mic","10",6.18891321755901
179,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Open Mic","20",7.23405670467184
180,"Liquid Air Show","All About Crustaceans","Mind Reader","Atlanta Ballet","Open Mic","Open Mic","30",3.24111042492308
181,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Improv","10",8.84873427391473
182,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Improv","20",6.55525941413042
183,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Improv","30",6.93312415642203
184,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Slapstick","10",8.24592687140281
185,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Slapstick","20",6.69809986660502
186,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Slapstick","30",6.72488407386484
187,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Open Mic","10",3.42455534017774
188,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Open Mic","20",7.19884710435649
189,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Beatles","Open Mic","30",8.02704744997714
190,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Improv","10",7.77515145014031
191,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Improv","20",7.01393622302444
192,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Improv","30",6.8692120162429
193,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Slapstick","10",5.37690999715953
194,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Slapstick","20",8.15020654667693
195,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Slapstick","30",9.3109356702241
196,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Open Mic","10",6.70162699465762
197,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Open Mic","20",5.91054311854107
198,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Wiggles","Open Mic","30",6.9611043766866
199,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Improv","10",9.35442909614777
200,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Improv","20",9.64507571205124
201,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Improv","30",7.48396969855683
202,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Slapstick","10",7.68395414453963
203,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Slapstick","20",8.21755394594623
204,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Slapstick","30",8.04806677282067
205,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Open Mic","10",7.06808151318101
206,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Open Mic","20",5.79873578677481
207,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Italian Opera","Open Mic","30",6.1236568340795
208,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Improv","10",4.41985628437435
209,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Improv","20",6.75868704862575
210,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Improv","30",7.45865554669891
211,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Slapstick","10",6.64929864568002
212,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Slapstick","20",4.65258619586705
213,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Slapstick","30",8.62719882635379
214,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Open Mic","10",9.5325611263933
215,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Open Mic","20",6.85363715679468
216,"Liquid Air Show","All About Crustaceans","Mind Reader","Hip-Hop Fusion","Open Mic","Open Mic","30",6.67712375012874
217,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Improv","10",5.88244627787451
218,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Improv","20",6.70355527727445
219,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Improv","30",3.65987641005662
220,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Slapstick","10",5.93517399504891
221,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Slapstick","20",7.53354685470121
222,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Slapstick","30",8.39112255919258
223,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Open Mic","10",6.98893683280129
224,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Open Mic","20",8.93863352740966
225,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Beatles","Open Mic","30",4.37209123721604
226,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Improv","10",7.45029484201822
227,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Improv","20",7.08259195881098
228,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Improv","30",8.33714661927857
229,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Slapstick","10",4.4319141722757
230,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Slapstick","20",7.41789881943904
231,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Slapstick","30",5.83587375857056
232,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Open Mic","10",7.06637892513407
233,"Liquid Air Show","All About Crustaceans","Mind Reader","Salsa Vida","Wiggles","Open Mic","20",6.44988757805389
